article_id,url,headline,hook,read_more,body_cards,drop_cards,exclude_tags
SIN6820,https://www.socialimpactnews.net/news/articleView.html?idxno=6820,임팩트 생태계의 ‘연결기획자’가 되고 싶습니다,"지역이 아직 낯선 이에게 만나면 좋을 사람들을 이어주는 것만으로, 그 사람은 지역에 훨씬 쉽게 스며들거든요.",기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6821,https://www.socialimpactnews.net/news/articleView.html?idxno=6821,제주에서 보낸 2박 3일의 쉼표,‘2026 공익활동가 런케이션 제주’가 지난 7월 2일부터 4일까지 2박 3일 일정으로 열렸다.,기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6831,https://www.socialimpactnews.net/news/articleView.html?idxno=6831,"성수동 팝업스토어 참여기업 모집, 31일까지",오는 9월 5일부터 6일까지 이틀간 서울 성수동 KT&G 상상플래닛에서 열린다.,기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6833,https://www.socialimpactnews.net/news/articleView.html?idxno=6833,"충남 청년정책, 전국에서 검색된다",충남청년포털과 청년정책 플랫폼 ‘열고닫기’가 연결된다.,기사 전문에서 더 자세한 내용을 확인하세요,,3,
SIN6834,https://www.socialimpactnews.net/news/articleView.html?idxno=6834,"국제기획전 ‘헬로, 패밀리: 안녕, 우리 집’ 개최",특히 국내 참여 작가 8명은 총 82팀이 지원한 공개 공모에서 선정된 청년 작가들이다.,기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6836,https://www.socialimpactnews.net/news/articleView.html?idxno=6836,"수퍼빈, 유기견 임시보호센터 후원전 ‘Home Sweet Home’ 참여",상처 입은 유기견들에게 안전한 보호와 돌봄을 제공하며 새로운 가족을 만나기까지 회복을 돕는 공간이다.,기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6837,https://www.socialimpactnews.net/news/articleView.html?idxno=6837,"4000개 가상기업 시뮬레이션으로 본 SPC 효과, 국제 SSCI 등재…",SK그룹 최태원 회장이 2013년 다보스포럼에서 사회문제 해결 방안으로 제안했다.,기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6838,https://www.socialimpactnews.net/news/articleView.html?idxno=6838,국내 소셜벤처 기술이 개도국으로 간다,월드비전과 MYSC가 23일 협약을 맺었다.,기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6839,https://www.socialimpactnews.net/news/articleView.html?idxno=6839,"고독과 연대, 상반된 두 축으로 자기만의 세계를 짓다","5년이 지난 지금 WBC는 시즌 멤버십을 운영하고, 매년 여름 100여명의 여성이 모이는 캠프를 연다.",기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6841,https://www.socialimpactnews.net/news/articleView.html?idxno=6841,"숫자가 되지 못한 장면들: 성과를 넘어, 새로이 붙여진 이름과 전환의…",우리나라 75세 이상 어르신 중 70% 이상은 하루 5개 이상의 약물을 만성적으로 복용하고 있다.,기사 전문에서 더 자세한 내용을 확인하세요,,,
SIN6882,,고령 이륜차 치명사고 67% 감소,별따러가자와 예산군의 AI 이동안전망 효과가 확인됐다.,,충남 1위::충청남도 15개 시·군 중 고령 이륜차 치명사고 감소율 1위를 기록했다.|어떻게::AI 사고자동신고 서비스로 실제 사고 10건을 자동 감지해 구조로 연계했다.|현장에서는::실제 사고자 인터뷰가 공개됐다. “안 당해본 사람은 몰라요.”|앞으로는::조달청 혁신제품으로 지정돼 예산군 실증모델을 전국으로 확산한다.,,
SIN6845,,비영리 조직의 ‘회사 밖 경영관리팀’,“좋은 일을 오래 이어가기 위해서는 경영관리가 필요합니다.”,,"어떻게 다른가::현신경영연구소는 일반적인 회계사무소와 달리 조직의 경영관리 역량을 먼저 진단하고, 회계·세무·노무를 담당할 사람이 있는지 살핀다.|비전부터::조직이 그리고 있는 미래와 비전을 함께 들여다본 뒤 그에 맞는 경영관리 체계를 설계한다.|방법은 셋::직접 회계를 맡길지, 외부 전문가와 협업할지, 내부 담당자를 키울지까지 조직 상황에 맞는 방법을 함께 찾는다.|페이스메이커::자신의 역할을 ‘대표의 페이스메이커’라고 표현했다. 대표가 더 좋은 의사결정을 내리도록 옆에서 함께 뛰는 사람이다.",,mysc.official
