article_id,title,url,content,published_at
ART001,"충남 청년정책, 전국 플랫폼 '열고닫기'로 만난다",https://www.socialimpactnews.net/news/articleView.html?idxno=6833,"도도한콜라보와 충남청년센터가 청년정책 플랫폼 '열고닫기'와 충남청년포털을 연계해 청년들의 정책 접근성을 높이는 업무협약을 체결했습니다. 양 기관은 정책정보 공유와 콘텐츠 공동 제작, AI 기반 맞춤형 서비스 고도화를 통해 실질적 참여로 이어지는 민관 협력모델을 구축할 계획입니다.",2026-07-24T08:50:00+09:00
ART002,"헬로우뮤지움, 국제기획전 '헬로, 패밀리: 안녕, 우리 집' 개최",https://www.socialimpactnews.net/news/articleView.html?idxno=6834,"성수동 어린이미술관 헬로우뮤지움이 8월 22일까지 회화와 사진, 설치, 영상 등 161여 점의 작품으로 변화하는 가족의 다양한 형태를 조명하는 국제기획전을 선보입니다. 국내외 작가와 13개국 어린이가 참여한 이번 전시는 저출산 시대의 가족 다양성을 탐구하는 다년차 예술 프로젝트의 일환입니다.",2026-07-24T08:48:00+09:00
ART003,"수퍼빈, 유기견 임시보호센터 후원전 'Home Sweet Home' 참여",https://www.socialimpactnews.net/news/articleView.html?idxno=6836,"수퍼빈이 폐페트병에서 뽑아낸 고품질 재생원료를 활용해 갤러리 맨션나인의 유기견 후원 미술전에 참여하고, 판매 수익금 일부를 화성 아이엠팩토리 내 보호센터 '두부아이놀이터'에 기부합니다. 8월 6일부터 23일까지 열리는 이번 전시는 자원순환과 생명 보호의 가치를 예술 언어로 전달하는 것을 목표로 합니다.",2026-07-24T08:46:00+09:00
ART004,"4000개 가상기업 시뮬레이션으로 본 SPC 효과, 국제 SSCI 등재 학술지 게재",https://www.socialimpactnews.net/news/articleView.html?idxno=6837,"이화여대 김상준 교수 연구팀이 4000개 가상기업 시뮬레이션을 통해 사회성과인센티브(SPC)가 사회적기업의 사회성과와 경제성과를 동시에 끌어올리는 선순환 구조를 형성한다는 사실을 입증했습니다. 특히 초기 단계 사회적기업에서 효과가 가장 크게 나타나, SPC가 단순 재정지원을 넘어 정책수단으로 기능할 수 있음을 보여줍니다.",2026-07-24T08:41:00+09:00
ART005,국내 소셜벤처 기술로 개도국 문제 푼다…월드비전·MYSC 협력 모델 구축,https://www.socialimpactnews.net/news/articleView.html?idxno=6838,"월드비전과 임팩트 투자사 MYSC가 국내 소셜벤처의 혁신 기술을 현지 실정에 맞게 적용해 개발도상국의 사회문제를 해결하는 지속가능한 국제개발 모델을 함께 구축하기로 했습니다. 두 기관은 기부 중심의 기존 방식을 넘어 임팩트 비즈니스 생태계와 현장 경험을 결합한 장기 파트너십을 추진할 계획입니다.",2026-07-24T08:37:00+09:00
ART006,"숫자가 되지 못한 장면들: 성과를 넘어, 새로이 붙여진 이름과 전환의 역설",https://www.socialimpactnews.net/news/articleView.html?idxno=6841,"러블리페이퍼와 늘픔가치의 사례를 통해 폐지수거 어르신을 '자원재생활동가'로, 주민을 약사의 동반자로 다시 부르는 관계의 전환을 짚었습니다. 이 과정에서 쌓이는 신뢰와 경험의 공유야말로 통상적인 성과지표로는 증명할 수 없는 진짜 사회적 가치라고 강조합니다.",2026-07-24T08:37:00+09:00
ART007,"고독과 연대, 상반된 두 축으로 자기만의 세계를 짓다",https://www.socialimpactnews.net/news/articleView.html?idxno=6839,"김지영은 디지털 디톡스 공간 '고독스테이'와 여성 모험 커뮤니티 '우먼스베이스캠프'라는 상반된 두 프로젝트로 자기 발견과 공동체 경험을 동시에 제안합니다. 그는 고독을 무채색이 아니라 각자의 빛을 드러내는 프리즘으로 해석하며 자신과 세상 사이의 경계에서 새로운 시공간을 만들어왔습니다.",2026-07-24T05:30:00+09:00
ART008,[후기] 제주에서 보낸 2박 3일의 쉼표…'2026 공익활동가 런케이션 제주' 성료,https://www.socialimpactnews.net/news/articleView.html?idxno=6821,"제주공익활동지원센터가 마련한 이번 런케이션에 공익활동가 60명이 참여해 2박 3일간 커피 시음과 도자기 만들기, 유람선 관광 등으로 쉼과 재충전의 시간을 보냈습니다. 참가자들은 4·3 평화공원 방문과 지역 사례 학습을 통해 공익활동의 의미를 되새기고 서로를 응원하는 새로운 연대를 만들었습니다.",2026-07-24T05:30:00+09:00
ART009,"제주센터, 성수동 팝업스토어 참여기업 모집…제주 로컬브랜드 판로 확대",https://www.socialimpactnews.net/news/articleView.html?idxno=6831,"제주창조경제혁신센터가 제주 로컬브랜드의 수도권 진출을 돕기 위해 9월 5~6일 서울 성수동에서 팝업스토어를 열고 7월 31일까지 약 15개 기업을 모집합니다. 선정 기업에는 공간과 항공권, 숙박비가 제공되고 판매 수익은 전액 기업이 가져가며 행사 전후로 AI 교육과 상권 투어도 운영됩니다.",2026-07-23T20:45:00+09:00
ART010,임팩트 생태계의 '연결기획자'가 되고 싶습니다,https://www.socialimpactnews.net/news/articleView.html?idxno=6820,"청년과 지역을 잇는 일에서 출발한 권예원은 이제 임팩트 생태계 전체를 아우르는 '연결기획자'로서의 역할을 지향하고 있습니다. 사람들 사이의 의미 있는 만남을 통해 복합적인 사회문제를 함께 풀어갈 수 있는 구조를 만들겠다는 비전을 밝혔습니다.",2026-07-23T09:57:00+09:00
